from_region,to_canada,to_mexico,to_us,to_s_cent_america,to_europe,to_russia,to_other_cis,to_middle_east,to_africa,to_australasia,to_china,to_india,to_japan,to_singapore,to_other_asia_pacific,total_exports
Canada,0,0,187.1,0.7,4.1,0,0,0,0,0,3.9,0.6,0,0,1.0,197.4
Mexico,0,0,29.0,0.1,7.6,0,0,0.1,0,0,0.4,7.9,0.1,0,7.7,52.9
US,15.5,0,0,8.3,51.4,0,0,0.4,0.4,0.6,11.5,20.5,0.9,3.9,25.1,138.5
S. & Cent. America,0.6,0,29.2,0,11.2,0,0,1.1,0.4,0,57.6,10.5,2.5,6.0,5.0,124.1
Europe,0.1,0,4.4,0.5,0,0,0.1,0.2,0.2,0,21.2,3.6,0.2,0.3,5.6,36.4
Russia,0,0,9.9,0.7,138.7,0,15.7,0,0,0.3,79.6,4.5,4.4,0.6,9.1,263.6
Other CIS,0.6,0,0.9,0.1,67.0,0,0,3.5,1.0,0.2,4.8,1.2,0.1,0,7.7,87.1
Iraq,0,0,7.6,0.7,47.5,0,0,0.9,1.3,0,54.1,52.0,0.4,0.8,10.8,176.1
Kuwait,0,0,1.0,0,0,0,0,0,2.6,0.1,30.2,13.6,10.5,0.5,29.8,88.4
Saudi Arabia,3.5,0,17.7,3.2,28.5,0,0.1,10.9,8.9,0,87.6,34.3,48.7,4.7,75.3,323.2
UAE,0,0,0.8,0,0.1,0,0,0,0.5,4.2,31.9,23.0,41.6,13.2,30.6,146.1
Other Middle East,0,0,0.1,0,1.0,0,0,0,0,0,53.9,7.4,10.8,7.3,16.4,97.0
North Africa,0.1,0,5.4,1.6,57.8,0,0.1,0.9,0,0.4,6.7,4.5,0.5,0.5,7.0,85.4
West Africa,3.5,0,9.7,5.6,51.7,0,0,3.5,6.6,1.5,59.9,24.5,0,3.1,17.6,187.4
East & S. Africa,0,0,0.4,0.1,0.9,0,0,0,0,0,0.7,1.7,0.2,0.1,0.5,4.8
Australasia,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0.2,2.5,5.7,9.2
China,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,1.4,1.6
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Japan,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0.4
Singapore,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.4,1.0
Other Asia Pacific,0,0,1.2,0,0.1,0,0,0.2,0.1,6.9,21.7,3.7,1.0,3.3,0,38.2
Total imports,23.9,0,304.7,21.8,467.7,0,15.9,21.8,22.1,14.9,526.0,213.7,122.1,47.0,257.1,2058.9
