from_region,to_canada,to_mexico,to_us,to_s_cent_america,to_europe,to_russia,to_other_cis,to_middle_east,to_africa,to_australasia,to_china,to_india,to_japan,to_singapore,to_other_asia_pacific,total_exports
Canada,0,0,203.1,0,5.9,0,0,0,0,0,9.2,0.4,0,0,0.8,219.4
Mexico,0.1,0,23.2,0,10.5,0,0,0,0,0,1.0,3.1,0.1,0,3.8,41.7
US,17.7,0,0,9.0,95.8,0,0,0,2.8,0.7,9.6,7.9,2.8,11.3,40.5,198.3
S. & Cent. America,0.9,0,53.6,0,47.2,0,0,1.6,2.6,0.1,52.6,8.9,1.7,3.4,11.5,184.1
Europe,0,0,3.7,0.6,0,0,0,0,0.1,0,4.1,2.3,0,0.5,1.2,12.4
Russian Federation,0,0,0,0.1,29.6,0,16.1,0.5,0.4,0,108.5,87.5,0,0,0.4,243.1
Other CIS,0,0,1.9,0.3,80.9,0,0,1.7,0.5,0.1,2.0,0,0,0,3.1,90.6
Iraq,0,0,9.9,0,38.2,0,0,0.5,0.1,0,63.8,50.1,0,1.5,15.5,179.6
Kuwait,0,0,1.1,0,0.3,0,0,2.8,0,0,16.0,6.0,8.1,0,25.8,60.1
Saudi Arabia,2.5,0,13.6,3.2,38.6,0,0,12.5,2.6,0,78.6,31.0,46.4,3.5,87.9,320.6
UAE,0,0,1.9,0,1.7,0,0,0,0.1,0.5,35.5,21.7,49.5,12.6,59.2,182.7
Other Middle East,0,0,0,0,0.6,0,0,8.9,0,0,121.5,3.4,5.3,5.2,18.7,163.6
North Africa,0,0,4.8,1.1,57.8,0,0,2.0,0.1,0.4,1.8,1.8,0,0.1,3.4,73.1
West Africa,3.9,0,12.2,6.4,55.7,0,0,2.6,5.9,0.3,46.6,13.2,0,1.6,16.4,164.8
East & S. Africa,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.3,0.6,1.9
Australasia,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0.4,1.6,5.9,9.1
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.9
India,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Asia Pacific,0,0,0,0,0.1,0,0,0,0,5.7,2.1,1.4,0.6,1.8,0,11.7
Total imports,25.1,0,329.0,20.7,463.4,0,16.1,33.6,15.3,7.8,554.1,238.6,115.0,43.5,295.4,2157.8
